X,Y,x,y,SYMBOLS,NO_IDX,CLR_IDX,NM_LEMBAR,NO_LEMBAR,PROJECT,NAME,FORMATION,CLASS_LITH,T_CLASS_EN,B_CLASS_EN,DESCRIP1,Shape_Leng,Shape_Area
102.4480223,-0.567652775,102.4480223,-0.567652775,Qrt,61,#E0FFFF,RENGAT,915,SUMAROX,Endapan Teras Sungai,River Terrace Deposits,Sediment: clastic: alluvium,Sedimentation: terrestrial: fluvial,Sedimentation: terrestrial: fluvial,UPPER PLEISTOCENE,7.904641668,9.34E-02
102.9591814,-2.754302517,102.9591814,-2.754302517,Qs,62,#fcf75e,BANGKO,913,SUMAROX,Endapan Danau,Swamp Deposite,Sediment: clastic: alluvium,Terrestrial: alluvial,Terrestrial: alluvial,HOLOCENE,4.901045349,0.152353577
104.3385604,-0.57332028,104.3385604,-0.57332028,Qs,62,#fcf75e,DABO,1015,SUMAROX,Endapan Danau,Swamp Deposite,Sediment: clastic: alluvium,Terrestrial: alluvial,Terrestrial: alluvial,HOLOCENE,32.92974927,0.451271056
104.3965703,-1.942398098,104.3965703,-1.942398098,Qs,62,#fcf75e,JAMBI,1014,SUMAROX,Endapan Danau,Swamp Deposite,Sediment: clastic: alluvium,Terrestrial: alluvial,Terrestrial: alluvial,HOLOCENE,49.61251767,2.360283029
102.3657107,-1.937472071,102.3657107,-1.937472071,Qs,62,#fcf75e,MUARA BUNGO,914,SUMAROX,Endapan Danau,Swamp Deposite,Sediment: clastic: alluvium,Terrestrial: alluvial,Terrestrial: alluvial,HOLOCENE,0.736796454,9.55E-03
103.9490884,-2.844041912,103.9490884,-2.844041912,Qs,62,#fcf75e,PALEMBANG,1013,SUMAROX,Endapan Danau,Swamp Deposite,Sediment: clastic: alluvium,Terrestrial: alluvial,Terrestrial: alluvial,HOLOCENE,1.113512185,1.26E-02
103.0505427,-0.631458751,103.0505427,-0.631458751,Qs,62,#fcf75e,RENGAT,915,SUMAROX,Endapan Danau,Swamp Deposite,Sediment: clastic: alluvium,Terrestrial: alluvial,Terrestrial: alluvial,HOLOCENE,35.86399178,0.929090251
101.3472658,-2.684275674,101.3472658,-2.684275674,QTb,63,#7FFFD4,SUNGAIPENUH,813,SUMAROX,Formasi Bitunan,Bintunan Formation,Sediment: clastic: conglomerate,Terrestrial: fluvial,Terrestrial: fluvial,PLIO-PLEISTOCENE,7.452985274,0.282988818
102.3199947,-2.002730649,102.3199947,-2.002730649,QTk,64,#ffa500,BANGKO,913,SUMAROX,Formasi Kasai,Kasai Formation,Sediment: clastic: sandstone,Sedimentation: terrestrial: fluvial: bar,Sedimentation: terrestrial: fluvial: bar,PLIO-PLEISTOCENE,30.53424605,0.843844335
104.018786,-1.897568758,104.018786,-1.897568758,QTk,64,#ffa501,JAMBI,1014,SUMAROX,Formasi Kasai,Kasai Formation,Sediment: clastic: sandstone,Sedimentation: terrestrial: fluvial: bar,Sedimentation: terrestrial: fluvial: bar,PLIO-PLEISTOCENE,22.301772,0.386247773
102.2572856,-1.446893903,102.2572856,-1.446893903,QTk,64,#ffa502,MUARA BUNGO,914,SUMAROX,Formasi Kasai,Kasai Formation,Sediment: clastic: sandstone,Sedimentation: terrestrial: fluvial: bar,Sedimentation: terrestrial: fluvial: bar,PLIO-PLEISTOCENE,11.5443217,0.249090276
101.5745769,-1.090750159,101.5745769,-1.090750159,QTk,64,#ffa503,PAINAN,814,SUMAROX,Formasi Kasai,Kasai Formation,Sediment: clastic: sandstone,Sedimentation: terrestrial: fluvial: bar,Sedimentation: terrestrial: fluvial: bar,PLIO-PLEISTOCENE,2.582986602,6.62E-02
103.8063265,-2.286558134,103.8063265,-2.286558134,QTk,64,#ffa504,PALEMBANG,1013,SUMAROX,Formasi Kasai,Kasai Formation,Sediment: clastic: sandstone,Sedimentation: terrestrial: fluvial: bar,Sedimentation: terrestrial: fluvial: bar,PLIO-PLEISTOCENE,3.337815705,3.19E-02
102.5891663,-0.749609832,102.5891663,-0.749609832,QTk,64,#ffa505,RENGAT,915,SUMAROX,Formasi Kasai,Kasai Formation,Sediment: clastic: sandstone,Sedimentation: terrestrial: fluvial: bar,Sedimentation: terrestrial: fluvial: bar,PLIO-PLEISTOCENE,0.884559245,5.22E-03
